idtransaccion,idcliente,horatransaccion,monto,canal,geolocalizacion,dispositivo_confianza,monto_promedio,ataque,estatus
100180,150,2026-03-22 05:26:01,839.49,APP,  gdl  ,False,167.65,1,NO_APROBADA
100181,7,2026-03-15 19:18:48,127.94,SUCURSAL,CDMX,True,91.7,0,APROBADA
100182,9,2026-03-29 21:23:43,185.82,SUCURSAL,CDMX,True,210.6,0,APROBADA
100183,150,2026-03-14 00:52:12,183.67,WEB,GDL,True,167.65,0,APROBADA
100184,150,2026-03-30 23:45:54,129.55,APP,CDMX,True,167.65,0,APROBADA
100185,150,2026-03-05 04:05:58,142.34,WEB,MTY,True,167.65,0,APROBADA
100186,9,2026-03-17 23:15:24,251.7,APP,CDMX,False,210.6,0,APROBADA
100187,8,2026-03-26 04:08:02,117.49,ATM,MTY,True,160.64,0,APROBADA
100188,9,2026-03-15 03:00:57,157.94,APP,CDMX,True,210.6,0,APROBADA
100189,150,2026-03-17 04:07:49,126.46,ATM,CDMX,True,167.65,0,APROBADA
100190,150,2026-03-25 22:55:52,481.73,WEB,GDL,False,167.65,1,NO_APROBADA
100191,7,2026-03-23 04:18:27,94.99,APP,CDMX,True,91.7,0,APROBADA
100192,1,2026-03-23 11:04:33,21.63,APP,CDMX,False,18.65,0,APROBADA
100193,8,2026-03-09 23:01:22,161.54,APP,CDMX,True,160.64,0,APROBADA
100194,150,2026-03-24 03:08:02,120.76,ATM,CDMX,True,167.65,0,APROBADA
100195,9,2026-03-23 01:40:11,194.92,WEB,CDMX,True,210.6,0,APROBADA
100196,8,2026-03-07 01:50:12,140.84,APP,CDMX,True,160.64,0,APROBADA
100197,150,2026-03-16 02:02:48,109.3,WEB,CDMX,True,167.65,0,APROBADA
100198,8,2026-03-09 03:51:23,191.08,SUCURSAL,OTRA,True,160.64,0,APROBADA
100199,8,2026-03-06 15:44:31,112.44,ATM,OTRA,True,160.64,0,APROBADA
100200,9,2026-03-03 00:38:52,149.61,WEB,CDMX,True,210.6,0,APROBADA
100201,8,2026-03-10 14:38:45,145.24,SUCURSAL,CDMX,True,160.64,0,APROBADA
100202,8,2026-03-20 13:17:40,137.7,APP,CDMX,True,160.64,0,APROBADA
101050,7,2026-03-01 04:54:38,116.71,SUCURSAL,CDMX,True,91.7,0,APROBADA
100204,8,2026-03-12 12:36:02,138.48,WEB,CDMX,True,160.64,0,APROBADA
100205,1,2026-03-23 10:33:23,25.53,SUCURSAL,CDMX,False,18.65,0,APROBADA
100206,1,2026-03-06 03:16:57,80.03,APP,MTY,True,18.65,1,NO_APROBADA
100207,9,2026-03-07 03:18:44,148.89,SUCURSAL,CDMX,True,210.6,0,APROBADA
100208,7,2026-03-29 22:28:05,103.0,ATM,CDMX,True,91.7,0,APROBADA
100209,8,2026-03-29 09:54:10,115.92,WEB,CDMX,True,160.64,0,APROBADA
100210,7,2026-03-26 04:15:50,92.13,SUCURSAL,CDMX,True,91.7,0,APROBADA
100211,150,2026-03-05 23:04:19,141.97,SUCURSAL,OTRA,True,167.65,0,APROBADA
100212,9,2026-03-27 03:04:08,221.61,ATM,CDMX,True,210.6,0,APROBADA
100213,8,2026-03-05 17:40:37,150.26,WEB,CDMX,True,160.64,0,APROBADA
100214,1,2026-03-30 09:33:09,22.51,ATM,CDMX,False,18.65,0,APROBADA
100215,8,2026-03-17 09:54:05,129.7,ATM,CDMX,True,160.64,0,APROBADA
100216,8,2026-03-20 17:05:32,120.41,WEB,CDMX,True,160.64,0,APROBADA
100217,150,2026-03-24 03:53:59,190.37,APP,GDL,True,167.65,0,APROBADA
100218,150,2026-03-28 01:41:05,660.54,APP,MTY,False,167.65,1,NO_APROBADA
100219,150,2026-03-10 02:30:15,110.39,SUCURSAL,CDMX,True,167.65,0,APROBADA
100220,9,2026-03-14 01:29:13,226.2,ATM,CDMX,True,210.6,0,APROBADA
100221,8,2026-03-13 04:48:23,129.07,APP,CDMX,True,160.64,0,APROBADA
100222,7,2026-03-05 03:03:18,121.92,SUCURSAL,MTY,True,91.7,0,APROBADA
100223,7,2026-03-27 10:59:36,129.76,ATM,CDMX,True,91.7,0,APROBADA
100224,9,2026-03-16 22:31:01,168.89,  app  ,OTRA,True,210.6,0,APROBADA
100225,150,2026-03-12 22:03:18,165.53,SUCURSAL,CDMX,True,167.65,0,APROBADA
100226,8,2026-03-18 00:54:06,137.92,SUCURSAL,CDMX,True,160.64,0,APROBADA
100227,9,2026-03-12 18:25:03,186.36,WEB,CDMX,True,210.6,0,APROBADA
100228,9,2026-03-25 02:17:52,184.78,APP,CDMX,True,210.6,0,APROBADA
100229,8,2026-03-18 11:48:09,108.62,WEB,CDMX,True,160.64,0,APROBADA
100230,1,2026-03-09 14:21:51,24.72,SUCURSAL,CDMX,False,18.65,0,APROBADA
100231,7,2026-03-11 19:20:10,105.62,SUCURSAL,OTRA,True,91.7,0,APROBADA
100232,150,2026-03-27 05:45:36,134.81,ATM,CDMX,False,167.65,0,APROBADA
100233,1,2026-03-16 13:19:50,21.87,APP,CDMX,False,18.65,0,APROBADA
100234,150,2026-03-19 01:46:03,160.78,SUCURSAL,CDMX,True,167.65,0,APROBADA
100235,9,2026-03-05 21:02:36,190.25,APP,CDMX,True,210.6,0,APROBADA
100236,9,2026-03-23 21:26:32,224.69,SUCURSAL,OTRA,True,210.6,0,APROBADA
100237,150,2026-03-07 03:42:30,187.09,SUCURSAL,CDMX,True,167.65,0,APROBADA
100238,8,2026-03-18 11:43:49,127.19,ATM,CDMX,True,160.64,0,APROBADA
100239,150,2026-03-10 01:19:49,149.01,ATM,CDMX,True,167.65,0,APROBADA
100240,9,2026-03-12 02:59:59,205.18,ATM,CDMX,True,210.6,0,APROBADA
100241,9,2026-03-27 23:49:51,225.7,WEB,CDMX,True,210.6,0,APROBADA
100242,8,2026-03-30 14:41:16,129.4,SUCURSAL,CDMX,True,160.64,0,APROBADA
100243,150,2026-03-23 02:08:06,152.79,WEB,CDMX,True,167.65,0,APROBADA
100244,7,2026-03-02 03:26:21,70.31,SUCURSAL,CDMX,True,91.7,0,APROBADA
100245,150,2026-03-30 00:26:41,191.75,SUCURSAL,CDMX,True,167.65,0,APROBADA
100246,8,2026-03-10 20:03:58,171.48,APP,CDMX,True,160.64,0,APROBADA
100247,1,2026-03-10 02:49:27,111.19,APP,CDMX,False,18.65,1,NO_APROBADA
100248,9,2026-03-06 22:56:02,251.41,APP,CDMX,True,210.6,0,APROBADA
100249,8,2026-03-10 14:41:34,147.12,SUCURSAL,GDL,True,160.64,0,APROBADA
100250,7,2026-03-26 03:21:10,70.85,SUCURSAL,CDMX,True,91.7,0,APROBADA
100251,8,2026-03-26 09:36:43,185.73,WEB,CDMX,True,160.64,0,APROBADA
100252,9,2026-03-17 23:05:25,178.83,APP,CDMX,True,210.6,0,APROBADA
100253,7,2026-03-01 08:24:15,88.12,SUCURSAL,CDMX,True,91.7,0,APROBADA
100254,150,2026-03-01 02:41:23,132.61,WEB,CDMX,True,167.65,0,APROBADA
100255,9,2026-03-22 02:59:57,252.88,ATM,CDMX,True,210.6,0,APROBADA
100256,8,2026-03-20 07:14:08,159.52,SUCURSAL,CDMX,True,160.64,0,APROBADA
100257,9,2026-03-23 02:58:30,211.5,WEB,CDMX,True,210.6,0,APROBADA
100258,1,2026-03-23 12:33:45,14.74,ATM,CDMX,False,18.65,0,APROBADA
100259,150,2026-03-29 01:36:34,144.77,WEB,CDMX,True,167.65,0,APROBADA
100260,7,2026-03-23 18:31:05,94.93,SUCURSAL,MTY,True,91.7,0,APROBADA
100261,150,2026-03-02 05:43:51,178.48,ATM,CDMX,True,167.65,0,APROBADA
100262,7,2026-03-19 02:02:27,73.62,ATM,CDMX,True,91.7,0,APROBADA
100263,1,2026-03-30 12:02:18,21.7,SUCURSAL,CDMX,False,18.65,0,APROBADA
100264,9,2026-03-12 00:28:55,219.42,SUCURSAL,CDMX,True,210.6,0,APROBADA
100265,150,2026-03-05 03:07:11,125.04,SUCURSAL,CDMX,True,167.65,0,APROBADA
100266,1,2026-03-30 09:19:29,16.97,SUCURSAL,CDMX,False,18.65,0,APROBADA
100267,8,2026-03-05 08:12:59,160.34,APP,CDMX,True,160.64,0,APROBADA
100268,1,2026-03-09 10:04:06,24.47,APP,CDMX,False,18.65,0,APROBADA
100269,7,2026-03-24 01:25:28,116.56,WEB,CDMX,True,91.7,0,APROBADA
100270,7,2026-03-17 09:14:52,119.1,ATM,CDMX,True,91.7,0,APROBADA
100271,7,2026-03-10 04:42:33,103.4,WEB,CDMX,True,91.7,0,APROBADA
101773,150,2026-03-16 03:57:25,713.24,WEB,CDMX,False,167.65,1,NO_APROBADA
100273,9,2026-03-26 02:20:44,162.07,SUCURSAL,CDMX,True,210.6,0,APROBADA
100274,150,2026-03-16 01:54:14,187.33,ATM,GDL,True,167.65,0,APROBADA
100275,150,2026-03-14 04:35:33,134.72,WEB,CDMX,True,167.65,0,APROBADA
100276,1,2026-03-30 12:54:23,14.62,APP,CDMX,False,18.65,0,APROBADA
100277,9,2026-03-22 03:38:02,226.92,APP,CDMX,True,210.6,0,APROBADA
100278,150,2026-03-07 05:13:55,124.06,ATM,CDMX,True,167.65,0,APROBADA
100279,7,2026-03-24 03:47:48,82.27,SUCURSAL,OTRA,True,91.7,0,APROBADA
100280,7,2026-03-18 10:49:18,88.51,SUCURSAL,CDMX,True,91.7,0,APROBADA
100281,8,2026-03-17 15:29:06,123.28,SUCURSAL,CDMX,True,160.64,0,APROBADA
100282,8,2026-03-15 00:35:37,529.7,APP,GDL,False,160.64,1,NO_APROBADA
100283,150,2026-03-19 04:18:09,180.0,WEB,CDMX,True,167.65,0,APROBADA
100284,9,2026-03-18 23:16:48,195.3,SUCURSAL,OTRA,True,210.6,0,APROBADA
101190,8,2026-03-06 04:46:34,194.13,SUCURSAL,CDMX,SI,160.64,0,APROBADA
100286,1,2026-03-23 09:53:54,14.08,APP,OTRA,True,18.65,0,APROBADA
100287,7,2026-03-27 20:14:04,92.39,WEB,CDMX,True,91.7,0,APROBADA
100288,150,2026-03-21 05:42:31,106.07,APP,CDMX,True,167.65,0,APROBADA
100289,150,2026-03-24 02:34:18,143.75,APP,CDMX,True,167.65,0,APROBADA
100290,7,2026-03-04 03:33:09,118.91,WEB,CDMX,True,91.7,0,APROBADA
100291,8,2026-03-26 12:05:23,167.75,SUCURSAL,CDMX,True,160.64,0,APROBADA
100292,8,2026-03-22 02:41:54,154.74,APP,CDMX,True,160.64,0,APROBADA
100293,1,2026-03-23 09:44:10,23.41,APP,CDMX,False,18.65,0,APROBADA
100294,150,2026-03-28 23:57:33,167.31,APP,CDMX,True,167.65,0,APROBADA
100295,150,2026-03-16 02:02:59,153.87,APP,CDMX,True,167.65,0,APROBADA
100296,1,2026-03-09 15:20:01,22.55,WEB,CDMX,False,18.65,0,APROBADA
100297,9,2026-03-30 19:19:10,221.24,WEB,CDMX,True,210.6,0,APROBADA
100298,150,2026-03-11 04:48:47,112.06,WEB,CDMX,True,167.65,0,APROBADA
100299,8,2026-03-02 03:27:14,190.94,APP,CDMX,True,160.64,0,APROBADA
100300,9,2026-03-25 23:01:40,167.38,ATM,CDMX,True,210.6,0,APROBADA
100301,150,2026-03-13 04:11:43,176.82,SUCURSAL,CDMX,True,167.65,0,APROBADA
100302,1,2026-03-09 11:09:24,15.28,WEB,CDMX,False,18.65,0,APROBADA
